,Price Range,Cuisine Style,URL_TA,Number of Reviews
26,$,"['European', 'Hungarian']",/Restaurant_Review-g274887-d10073699-Reviews-Fozelekfalo_Food_Bar-Budapest_Central_Hungary.html,12.0
27,$$ - $$$,"['Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",/Restaurant_Review-g187147-d11687952-Reviews-Lula-Paris_Ile_de_France.html,71.0
28,,,/Restaurant_Review-g187849-d12911907-Reviews-Panificio_Reda-Milan_Lombardy.html,3.0
29,,,/Restaurant_Review-g186605-d7805333-Reviews-Biscotti_Caffe-Dublin_County_Dublin.html,3.0
30,,"['Sushi', 'Asian']",/Restaurant_Review-g189934-d3345223-Reviews-Rice_Garden-Helsinki_Uusimaa.html,20.0
31,$,"['Dutch', 'Cafe', 'European']",/Restaurant_Review-g188590-d10027275-Reviews-Samen-Amsterdam_North_Holland_Province.html,17.0
32,$$$$,"['French', 'European']",/Restaurant_Review-g1136488-d5599563-Reviews-Le_Chalet_de_la_Foret-Uccle_Brussels.html,58.0
33,$,"['French', 'Vegetarian Friendly', 'Vegan Options']",/Restaurant_Review-g187265-d7623654-Reviews-Creperie_Caramel_Sale-Lyon_Rhone_Auvergne_Rhone_Alpes.html,55.0
34,$,"['Quick Bites', 'Fast Food']",/Restaurant_Review-g274707-d4768085-Reviews-McDonald_s_Florenc-Prague_Bohemia.html,30.0
35,,,/Restaurant_Review-g190454-d12350248-Reviews-Oskar-Vienna.html,4.0
36,$$ - $$$,"['French', 'European', 'Hungarian']",/Restaurant_Review-g274887-d13197631-Reviews-Le_Poulet-Budapest_Central_Hungary.html,48.0
37,,"['European', 'Portuguese']",/Restaurant_Review-g189158-d8772965-Reviews-Lamosa_Grill-Lisbon_Lisbon_District_Central_Portugal.html,3.0
40,,,/Restaurant_Review-g187791-d11951657-Reviews-Ventitre-Rome_Lazio.html,9.0
41,$$ - $$$,,/Restaurant_Review-g274924-d7995801-Reviews-Slovak_Pubs-Bratislava_Bratislava_Region.html,14.0
42,,,/Restaurant_Review-g187265-d1328183-Reviews-Restaurant_Golbasi-Lyon_Rhone_Auvergne_Rhone_Alpes.html,2.0
43,,,/Restaurant_Review-g186338-d10392913-Reviews-Aqua_London-London_England.html,33.0
44,$,,/Restaurant_Review-g187849-d7967318-Reviews-Trattoria_la_Madonnina_di_Costantino_Cuciniello_Precotto-Milan_Lombardy.html,44.0
45,$,,/Restaurant_Review-g187147-d12681857-Reviews-Epicerie_et_Associes-Paris_Ile_de_France.html,29.0
46,$$ - $$$,,/Restaurant_Review-g187147-d13094972-Reviews-Love_Juice_Bar-Paris_Ile_de_France.html,23.0
47,,,/Restaurant_Review-g274924-d4770241-Reviews-Olive_Tree_Restaurant-Bratislava_Bratislava_Region.html,3.0
48,,,/Restaurant_Review-g186338-d7994738-Reviews-Slim_Jim_s_Liquor_Store-London_England.html,52.0
49,,,/Restaurant_Review-g187147-d3612769-Reviews-Bubbolitas-Paris_Ile_de_France.html,77.0
50,,,/Restaurant_Review-g187514-d4600226-Reviews-Cafeteria_Teresa-Madrid.html,2.0
51,,,/Restaurant_Review-g187497-d5867903-Reviews-Fer_El_Cafe-Barcelona_Catalonia.html,9.0
52,$,"['Cafe', 'European']",/Restaurant_Review-g274924-d12111665-Reviews-Vespa_Caffeterria-Bratislava_Bratislava_Region.html,47.0
53,$,"['Asian', 'Korean']",/Restaurant_Review-g187147-d5058767-Reviews-CHOI_SUN_Kokiri-Paris_Ile_de_France.html,14.0
54,,,/Restaurant_Review-g189852-d12949592-Reviews-Gandhi_Grondal-Stockholm.html,10.0
55,$$ - $$$,"['Chinese', 'International', 'Asian']",/Restaurant_Review-g190454-d12556149-Reviews-Ra_mien-Vienna.html,10.0
56,,"['Cafe', 'International']",/Restaurant_Review-g187323-d11999809-Reviews-Lehrter_Cafe-Berlin.html,4.0
57,,,/Restaurant_Review-g950786-d11995686-Reviews-Atelier_du_Sushi-Schaerbeek_Brussels.html,6.0
58,$$ - $$$,"['Japanese', 'Asian']",/Restaurant_Review-g187147-d13284434-Reviews-Soleil_Levant-Paris_Ile_de_France.html,22.0
59,$,"['French', 'Bar', 'Cafe']",/Restaurant_Review-g187147-d10336129-Reviews-L_Annexe-Paris_Ile_de_France.html,11.0
60,,,/Restaurant_Review-g274887-d10498197-Reviews-Pizza_Escobar-Budapest_Central_Hungary.html,9.0
63,$,"['European', 'Portuguese']",/Restaurant_Review-g189158-d10520643-Reviews-Prego_Gourmet_Lda-Lisbon_Lisbon_District_Central_Portugal.html,29.0
64,,,/Restaurant_Review-g187323-d2424319-Reviews-Focolare-Berlin.html,1.0
65,$,"['Indian', 'Vegetarian Friendly', 'Vegan Options']",/Restaurant_Review-g186338-d10677156-Reviews-Bombay_Spice-London_England.html,24.0
66,,,/Restaurant_Review-g187514-d9562461-Reviews-Ottawa_Burger-Madrid.html,44.0
67,,,/Restaurant_Review-g189158-d5979704-Reviews-Pastelaria_Anaflor-Lisbon_Lisbon_District_Central_Portugal.html,5.0
68,,,/Restaurant_Review-g189158-d13139218-Reviews-Cafe_Cunha-Lisbon_Lisbon_District_Central_Portugal.html,2.0
69,,"['European', 'Portuguese']",/Restaurant_Review-g189158-d3193915-Reviews-A_pestiqueria_da_estrela-Lisbon_Lisbon_District_Central_Portugal.html,3.0
70,,,/Restaurant_Review-g187849-d2697097-Reviews-Pravda-Milan_Lombardy.html,149.0
71,$,"['Pizza', 'Fast Food', 'Mediterranean']",/Restaurant_Review-g189400-d13001826-Reviews-Best_Taste_Experts-Athens_Attica.html,47.0
73,,,/Restaurant_Review-g187514-d10735345-Reviews-Dehesa_de_Santa_Maria-Madrid.html,2.0
74,$,"['Quick Bites', 'Fast Food']",/Restaurant_Review-g190479-d8293300-Reviews-McDonald_s-Oslo_Eastern_Norway.html,36.0
75,$,"['Italian', 'Pizza', 'Vegetarian Friendly']",/Restaurant_Review-g187791-d3873744-Reviews-Mezzosacco_Pizza_Tavola_Calda-Rome_Lazio.html,49.0
76,$,"['Austrian', 'European', 'Central European']",/Restaurant_Review-g190454-d11903856-Reviews-Gasthaus_Hausmannskost-Vienna.html,11.0
77,$$ - $$$,"['Japanese', 'Sushi', 'Asian']",/Restaurant_Review-g190356-d4844610-Reviews-Takajo_Sushi-Luxembourg_City.html,19.0
78,,,/Restaurant_Review-g188590-d11909263-Reviews-Eetwinkel_Zwaan_II-Amsterdam_North_Holland_Province.html,5.0
79,,,/Restaurant_Review-g189158-d12999507-Reviews-Churrasqueria_Central_Santa_Barbara-Lisbon_Lisbon_District_Central_Portugal.html,3.0
80,$,"['Cafe', 'European', 'Portuguese']",/Restaurant_Review-g189180-d12336001-Reviews-Confeitaria_Alianca-Porto_Porto_District_Northern_Portugal.html,23.0
81,$$ - $$$,"['Italian', 'Mediterranean']",/Restaurant_Review-g187331-d1347837-Reviews-Trastevere_Uno-Hamburg.html,15.0
82,$$ - $$$,,/Restaurant_Review-g187147-d8261215-Reviews-Paradiso_Ristorante-Paris_Ile_de_France.html,17.0
83,,,/Restaurant_Review-g190454-d8319709-Reviews-Gavaz-Vienna.html,8.0
84,,"['Pizza', 'Spanish']",/Restaurant_Review-g187514-d12488103-Reviews-Cafe_Bar_Capri-Madrid.html,13.0
85,,,/Restaurant_Review-g187849-d4946996-Reviews-Time_Out_Caffe-Milan_Lombardy.html,1.0
87,,,/Restaurant_Review-g186338-d3912269-Reviews-Forbidden_Temple-London_England.html,3.0
88,,"['European', 'Portuguese']",/Restaurant_Review-g189158-d3393987-Reviews-Coffe_House-Lisbon_Lisbon_District_Central_Portugal.html,3.0
89,$$ - $$$,,/Restaurant_Review-g187147-d1074698-Reviews-Pakito-Paris_Ile_de_France.html,22.0
90,$$ - $$$,"['Steakhouse', 'Mediterranean', 'Greek']",/Restaurant_Review-g186338-d4961398-Reviews-Stage_door_steakhouse-London_England.html,73.0
91,,,/Restaurant_Review-g187265-d1324782-Reviews-La_Croissanterie-Lyon_Rhone_Auvergne_Rhone_Alpes.html,21.0
92,$$ - $$$,,/Restaurant_Review-g187147-d715001-Reviews-Chez_Raymonde-Paris_Ile_de_France.html,4.0
93,$,,/Restaurant_Review-g187514-d5796187-Reviews-McDonald_s-Madrid.html,25.0
94,$,"['Italian', 'Pizza', 'Vegetarian Friendly']",/Restaurant_Review-g187849-d7621848-Reviews-La_Collina_Dei_Ciliegi-Milan_Lombardy.html,50.0
96,,,/Restaurant_Review-g187849-d8339930-Reviews-City-Milan_Lombardy.html,2.0
97,,,/Restaurant_Review-g187849-d6278406-Reviews-Bicos_Cafe-Milan_Lombardy.html,4.0
98,$,"['Spanish', 'Vegetarian Friendly']",/Restaurant_Review-g187497-d10039662-Reviews-La_Cova_D_horta-Barcelona_Catalonia.html,26.0
99,,,/Restaurant_Review-g187147-d1035596-Reviews-L_Envol_Cafe_Quebecois-Paris_Ile_de_France.html,15.0
100,$$ - $$$,"['Barbecue', 'British']",/Restaurant_Review-g186338-d12512228-Reviews-The_BBQ_Club-London_England.html,20.0
102,,,/Restaurant_Review-g1080938-d10533412-Reviews-Mevlana_Restaurant-Decines_Charpieu_Lyon_Rhone_Auvergne_Rhone_Alpes.html,6.0
103,,,/Restaurant_Review-g187147-d4293803-Reviews-La_Table_Ronde-Paris_Ile_de_France.html,12.0
104,$$ - $$$,"['Portuguese', 'Vegetarian Friendly']",/Restaurant_Review-g187331-d4727188-Reviews-Restaurante_O_Pescador-Hamburg.html,30.0
105,$$ - $$$,"['Russian', 'Vegetarian Friendly']",/Restaurant_Review-g190454-d1103441-Reviews-Abend_Restaurant_Feuervogel-Vienna.html,28.0
106,,,/Restaurant_Review-g187849-d1901926-Reviews-Il_Giardino-Milan_Lombardy.html,6.0
107,,,/Restaurant_Review-g186338-d10760580-Reviews-Antep_Durum-London_England.html,5.0
109,$$ - $$$,,/Restaurant_Review-g186338-d6672773-Reviews-Hill_Szrok-London_England.html,71.0
110,$$ - $$$,"['Italian', 'International']",/Restaurant_Review-g274887-d4556019-Reviews-Pegenini-Budapest_Central_Hungary.html,9.0
111,,,/Restaurant_Review-g188590-d12049003-Reviews-A_Piece_Of_Finland-Amsterdam_North_Holland_Province.html,1.0
112,,,/Restaurant_Review-g274924-d4770088-Reviews-Viktoria_cafe_bageteria_palacinkaren-Bratislava_Bratislava_Region.html,6.0
113,,"['Seafood', 'Healthy']",/Restaurant_Review-g187147-d3735127-Reviews-Fish_and_Food_Cafe-Paris_Ile_de_France.html,16.0
114,,,/Restaurant_Review-g189400-d4591733-Reviews-Briciole_pizzabar-Athens_Attica.html,9.0
115,$$ - $$$,,/Restaurant_Review-g188113-d8736586-Reviews-Cafe_Uetli-Zurich.html,5.0
116,$$ - $$$,,/Restaurant_Review-g187514-d1965515-Reviews-Casa_Piluca-Madrid.html,56.0
117,,,/Restaurant_Review-g186338-d5122063-Reviews-The_Honest_Sausage-London_England.html,16.0
118,$$ - $$$,,/Restaurant_Review-g187514-d10430050-Reviews-Riveira_II-Madrid.html,17.0
119,,"['Bar', 'Pub']",/Restaurant_Review-g187514-d5869951-Reviews-Cerveceria_Bar_Pocitos-Madrid.html,4.0
120,,,/Restaurant_Review-g187497-d10724032-Reviews-Bar_Casa_Ernesto-Barcelona_Catalonia.html,1.0
121,$$ - $$$,"['Italian', 'Mediterranean']",/Restaurant_Review-g187791-d12997561-Reviews-Hosteria_Scalella-Rome_Lazio.html,64.0
122,,,/Restaurant_Review-g274887-d12359266-Reviews-Club_88-Budapest_Central_Hungary.html,4.0
123,,,/Restaurant_Review-g186338-d12114896-Reviews-Subway-London_England.html,1.0
124,$$ - $$$,"['Mediterranean', 'European']",/Restaurant_Review-g187497-d1417391-Reviews-Picus-Barcelona_Catalonia.html,34.0
125,$$ - $$$,,/Restaurant_Review-g187309-d1820729-Reviews-La_Villetta-Munich_Upper_Bavaria_Bavaria.html,17.0
126,,,/Restaurant_Review-g187497-d997803-Reviews-Paradis_Barcelona-Barcelona_Catalonia.html,6.0
127,,,/Restaurant_Review-g188057-d2625256-Reviews-Olio_Design-Geneva.html,6.0
128,,,/Restaurant_Review-g187331-d959162-Reviews-Madeira-Hamburg.html,17.0
129,$$ - $$$,,/Restaurant_Review-g187514-d12548187-Reviews-Que_trabaje_Rita-Madrid.html,36.0
130,,,/Restaurant_Review-g806262-d11749991-Reviews-Mit_Lille_Kokken-Frederiksberg_Copenhagen_Zealand.html,7.0
131,$$ - $$$,"['French', 'Cafe']",/Restaurant_Review-g187147-d12113037-Reviews-Germaine-Paris_Ile_de_France.html,29.0
132,$$ - $$$,"['French', 'American', 'Vegetarian Friendly']",/Restaurant_Review-g187147-d12321528-Reviews-French_Home-Paris_Ile_de_France.html,49.0
133,$,,/Restaurant_Review-g187849-d8339764-Reviews-Bar_Gold-Milan_Lombardy.html,12.0
134,,,/Restaurant_Review-g186338-d5442851-Reviews-Queen_s_Crescent_Grill-London_England.html,3.0
135,,,/Restaurant_Review-g190454-d7097810-Reviews-Eiscafe_Renzo-Vienna.html,6.0
136,,,/Restaurant_Review-g188057-d7996902-Reviews-Lidia-Geneva.html,1.0
137,,,/Restaurant_Review-g187323-d1354477-Reviews-Restaurant_Zum_Torhaus-Berlin.html,1.0
138,,"['European', 'Portuguese']",/Restaurant_Review-g189158-d8381040-Reviews-Buzina-Lisbon_Lisbon_District_Central_Portugal.html,9.0
139,,,/Restaurant_Review-g187497-d11958460-Reviews-Bar_Conquero-Barcelona_Catalonia.html,1.0
140,,,/Restaurant_Review-g188644-d8073030-Reviews-Le_Dolores-Brussels.html,10.0
142,,,/Restaurant_Review-g189852-d5936523-Reviews-Pub_Diset-Stockholm.html,3.0
144,,"['Chinese', 'Vegetarian Friendly']",/Restaurant_Review-g186338-d720652-Reviews-Tai_Buffet-London_England.html,7.0
145,,,/Restaurant_Review-g186338-d1097059-Reviews-Asta_3-London_England.html,9.0
146,$$$$,"['French', 'Seafood', 'European']",/Restaurant_Review-g187147-d12945640-Reviews-Rech-Paris_Ile_de_France.html,554.0
147,,"['Pizza', 'Spanish']",/Restaurant_Review-g187497-d7092943-Reviews-Restaurante_El_Hornero-Barcelona_Catalonia.html,19.0
148,$$$$,,/Restaurant_Review-g189852-d13001385-Reviews-T8ng_Stockholm-Stockholm.html,29.0
149,,"['Cafe', 'Wine Bar']",/Restaurant_Review-g187849-d4593810-Reviews-Bar_Tabacchi_Punto_3-Milan_Lombardy.html,3.0
150,,,/Restaurant_Review-g1136493-d12428801-Reviews-Chez_Charly-Ixelles_Brussels.html,25.0
151,,,/Restaurant_Review-g186338-d13226281-Reviews-Chris_s_Fish_Bar-London_England.html,3.0
152,,"['Mediterranean', 'European', 'Spanish']",/Restaurant_Review-g187497-d2100338-Reviews-Nou_Can_Tipa-Barcelona_Catalonia.html,43.0
153,,,/Restaurant_Review-g187323-d1360884-Reviews-Annchen_von_Tharau-Berlin.html,10.0
154,,,/Restaurant_Review-g187323-d4156673-Reviews-Alte_Dorfaue-Berlin.html,3.0
155,,,/Restaurant_Review-g187147-d12229735-Reviews-Boulangerie_Benoit_Benoit-Paris_Ile_de_France.html,1.0
158,,,/Restaurant_Review-g189180-d7992689-Reviews-Abel_Sernadas-Porto_Porto_District_Northern_Portugal.html,4.0
159,,,/Restaurant_Review-g187147-d4185793-Reviews-Jesusparadis-Paris_Ile_de_France.html,16.0
160,,,/Restaurant_Review-g186338-d1043805-Reviews-Bice-London_England.html,2.0
161,$$ - $$$,"['Italian', 'Mediterranean', 'Vegetarian Friendly']",/Restaurant_Review-g190454-d12630204-Reviews-O_Sfizio-Vienna.html,25.0
162,,,/Restaurant_Review-g189158-d1093837-Reviews-Lisboa_Solar-Lisbon_Lisbon_District_Central_Portugal.html,8.0
163,,,/Restaurant_Review-g187849-d2407506-Reviews-Etoile_Cafe-Milan_Lombardy.html,4.0
164,,,/Restaurant_Review-g189158-d8759915-Reviews-Catita-Lisbon_Lisbon_District_Central_Portugal.html,8.0
165,,"['Bar', 'Pub']",/Restaurant_Review-g189934-d904707-Reviews-Pub_Heinahattu-Helsinki_Uusimaa.html,5.0
166,,"['Pizza', 'Seafood']",/Restaurant_Review-g186605-d7246537-Reviews-Restaurant-Dublin_County_Dublin.html,1.0
167,$,"['Mediterranean', 'Barbecue', 'Greek']",/Restaurant_Review-g189400-d3709334-Reviews-Nterlicatessen-Athens_Attica.html,19.0
168,$$ - $$$,,/Restaurant_Review-g187514-d5614471-Reviews-Bar_Vinoteca_La_Herradura-Madrid.html,16.0
169,$$ - $$$,,/Restaurant_Review-g187147-d6697515-Reviews-La_Piazza-Paris_Ile_de_France.html,62.0
170,$$ - $$$,"['French', 'Bar', 'European']",/Restaurant_Review-g187147-d4227711-Reviews-Terrasse_17-Paris_Ile_de_France.html,182.0
171,,"['South American', 'Ecuadorean']",/Restaurant_Review-g187514-d4173077-Reviews-Virgen_del_Cisne-Madrid.html,1.0
172,$,"['Moroccan', 'Mediterranean']",/Restaurant_Review-g187147-d2614607-Reviews-L_Oasis-Paris_Ile_de_France.html,15.0
173,,,/Restaurant_Review-g186338-d10109314-Reviews-Heathrow_Restaurant-London_England.html,9.0
174,,,/Restaurant_Review-g187331-d1038938-Reviews-Hong_Kong-Hamburg.html,5.0
175,,,/Restaurant_Review-g187147-d4953429-Reviews-Jefrey_s-Paris_Ile_de_France.html,18.0
176,,"['Fast Food', 'International', 'European']",/Restaurant_Review-g274887-d7724601-Reviews-Bite-Budapest_Central_Hungary.html,1.0
177,,,/Restaurant_Review-g187323-d12875617-Reviews-Trattoria_Venezia-Berlin.html,5.0
178,,,/Restaurant_Review-g187514-d990817-Reviews-Restaurante_Belarmino-Madrid.html,4.0
180,,,/Restaurant_Review-g186338-d11842481-Reviews-Diners_Delight-London_England.html,6.0
181,,,/Restaurant_Review-g274707-d12172734-Reviews-Cactus-Prague_Bohemia.html,2.0
182,,,/Restaurant_Review-g187497-d11543758-Reviews-Fusion_Restaurant_Japones_Braseria-Barcelona_Catalonia.html,1.0
183,$,"['European', 'Portuguese']",/Restaurant_Review-g189158-d10026779-Reviews-Adega_Do_Lagarto-Lisbon_Lisbon_District_Central_Portugal.html,14.0
184,,"['Cafe', 'Grill', 'Pub']",/Restaurant_Review-g187323-d8401819-Reviews-Gestrandet_An_Der_Jannowitzbrucke-Berlin.html,14.0
185,,,/Restaurant_Review-g186338-d3735823-Reviews-Grazie_Assai-London_England.html,1.0
186,$,,/Restaurant_Review-g187514-d4799949-Reviews-Taberna_Las_Toreras_Madrid-Madrid.html,8.0
187,,,/Restaurant_Review-g187147-d1336101-Reviews-Le_Tarbouche-Paris_Ile_de_France.html,12.0
188,$,"['Italian', 'Mediterranean', 'Romana']",/Restaurant_Review-g187791-d12921595-Reviews-La_Casetta-Rome_Lazio.html,246.0
189,,,/Restaurant_Review-g189158-d697252-Reviews-Porto_de_Abrigo-Lisbon_Lisbon_District_Central_Portugal.html,9.0
190,,,/Restaurant_Review-g189158-d10734451-Reviews-Ponto_Azul-Lisbon_Lisbon_District_Central_Portugal.html,7.0
191,$,"['Italian', 'Pizza', 'Vegetarian Friendly']",/Restaurant_Review-g187514-d3785147-Reviews-Pasta_Pesto-Madrid.html,43.0
192,$$ - $$$,"['Chinese', 'Asian', 'Vegetarian Friendly']",/Restaurant_Review-g187147-d12320220-Reviews-Dicoeur_Restaurant-Paris_Ile_de_France.html,85.0
193,,"['European', 'Czech']",/Restaurant_Review-g274707-d4768291-Reviews-Restaurace_U_Divadla-Prague_Bohemia.html,3.0
194,$,,/Restaurant_Review-g187331-d8517072-Reviews-Eiscafe_San_Remo-Hamburg.html,8.0
195,,"['Asian', 'Thai']",/Restaurant_Review-g186605-d12873448-Reviews-Scent_at_Home-Dublin_County_Dublin.html,6.0
196,,,/Restaurant_Review-g187323-d10179197-Reviews-Arirang_2-Berlin.html,6.0
197,$,,/Restaurant_Review-g186338-d7311463-Reviews-Kitchen-London_England.html,7.0
198,,,/Restaurant_Review-g187323-d1037163-Reviews-Montali_s-Berlin.html,6.0
200,,,/Restaurant_Review-g189400-d7690496-Reviews-Kerameio-Athens_Attica.html,21.0
201,$$ - $$$,"['Bar', 'Mediterranean', 'Spanish']",/Restaurant_Review-g187497-d12906918-Reviews-La_Guapa-Barcelona_Catalonia.html,47.0
202,,"['Lebanese', 'Mediterranean']",/Restaurant_Review-g186338-d4924798-Reviews-Amal_Lebanese_And_Moroccan_Cuisine-London_England.html,5.0
203,,,/Restaurant_Review-g186338-d9781450-Reviews-Cafe_Montmartre-London_England.html,7.0
204,,"['Sushi', 'Asian']",/Restaurant_Review-g186338-d5122174-Reviews-Yo_Sushi-London_England.html,12.0
205,,"['Bar', 'Pub']",/Restaurant_Review-g189180-d7644937-Reviews-NekaNau_Restaurante-Porto_Porto_District_Northern_Portugal.html,3.0
206,$,,/Restaurant_Review-g187514-d10028124-Reviews-La_Bodega_De_Casanova-Madrid.html,25.0
207,,,/Restaurant_Review-g187514-d10784649-Reviews-Restaurante_Crono_Cristalia-Madrid.html,31.0
208,$$ - $$$,,/Restaurant_Review-g187147-d10040334-Reviews-Comics_Burger-Paris_Ile_de_France.html,30.0
210,,,/Restaurant_Review-g187147-d12112547-Reviews-Restaurant_Naina-Paris_Ile_de_France.html,3.0
211,,,/Restaurant_Review-g187323-d3805143-Reviews-Don_Quichote-Berlin.html,6.0
212,,,/Restaurant_Review-g187265-d5962368-Reviews-L_appart_68-Lyon_Rhone_Auvergne_Rhone_Alpes.html,5.0
213,,,/Restaurant_Review-g274707-d1971797-Reviews-Piano_Terra-Prague_Bohemia.html,3.0
214,$,"['Chinese', 'Japanese', 'Sushi']",/Restaurant_Review-g187849-d10701333-Reviews-Koi_Japanese_Restaurant-Milan_Lombardy.html,60.0
215,,,/Restaurant_Review-g274924-d4770035-Reviews-Engerau-Bratislava_Bratislava_Region.html,28.0
216,$$ - $$$,"['American', 'Cafe', 'Fast Food']",/Restaurant_Review-g187514-d10271724-Reviews-Frisbee-Madrid.html,25.0
217,,,/Restaurant_Review-g187331-d1039067-Reviews-Holstenstube-Hamburg.html,3.0
218,,,/Restaurant_Review-g187147-d11861153-Reviews-Hao_Yun-Paris_Ile_de_France.html,1.0
219,,,/Restaurant_Review-g187323-d12417709-Reviews-Gia_Bao_Quan-Berlin.html,7.0
220,,,/Restaurant_Review-g188113-d12206760-Reviews-Buchmann_Beck_Rennweg-Zurich.html,7.0
221,,,/Restaurant_Review-g189852-d10769792-Reviews-Americain-Stockholm.html,27.0
222,$$ - $$$,,/Restaurant_Review-g274772-d10477806-Reviews-Pizzeria_Pepe-Krakow_Lesser_Poland_Province_Southern_Poland.html,15.0
224,,"['European', 'Eastern European']",/Restaurant_Review-g274924-d951933-Reviews-Bagl_s_Vinny_Bar_Restaurant-Bratislava_Bratislava_Region.html,3.0
225,$$ - $$$,"['Cafe', 'British', 'Vegetarian Friendly']",/Restaurant_Review-g186338-d5440481-Reviews-Unity_Kitchen-London_England.html,44.0
226,$,"['Quick Bites', 'Cafe', 'Vegan Options']",/Restaurant_Review-g274887-d12598682-Reviews-Picnic-Budapest_Central_Hungary.html,34.0
227,,"['European', 'Portuguese']",/Restaurant_Review-g189158-d8571233-Reviews-Avo_Vina-Lisbon_Lisbon_District_Central_Portugal.html,3.0
228,,,/Restaurant_Review-g187309-d5818174-Reviews-Konditorei_Cafe_Mische-Munich_Upper_Bavaria_Bavaria.html,11.0
230,,"['Cafe', 'Pub', 'Gastropub']",/Restaurant_Review-g187849-d4875639-Reviews-Il_Bacaro_Milano-Milan_Lombardy.html,13.0
231,,"['Japanese', 'Sushi']",/Restaurant_Review-g189541-d6813236-Reviews-Koi_Sushi-Copenhagen_Zealand.html,3.0
232,$,,/Restaurant_Review-g186605-d4418101-Reviews-Camden_Rotisserie-Dublin_County_Dublin.html,226.0
233,,,/Restaurant_Review-g187497-d5077935-Reviews-Bar_Kopes-Barcelona_Catalonia.html,3.0
234,,,/Restaurant_Review-g190454-d10818786-Reviews-Gasthaus_Zum_Mile-Vienna.html,2.0
235,,"['Mediterranean', 'Spanish']",/Restaurant_Review-g187514-d8657804-Reviews-La_Escrita-Madrid.html,8.0
236,,,/Restaurant_Review-g274707-d7124393-Reviews-Sen-Prague_Bohemia.html,1.0
237,$,,/Restaurant_Review-g186338-d5080700-Reviews-Kebabish-London_England.html,10.0
240,$$ - $$$,"['French', 'Belgian']",/Restaurant_Review-g950786-d11029213-Reviews-Le_Faubourg_Saint_antoine-Schaerbeek_Brussels.html,44.0
